Name,UniqueName,WAR,wRC+,ROI_Contact,ROI_Power,ROI_Speed,ROI_Defense,ROI_Discipline,Best_Tool,Best_ROI,Contact,Power,Speed,Defense,Discipline
Romy Gonzalez,Romy Gonzalez (2025),1.4625310993637737,122.73183436412651,8.959793578924145,12.316739735169934,-0.9296188314970704,-0.7641040829603906,-0.7245317877544702,Power,12.316739735169934,52.74993346597501,62.22889238526598,45.83577222697586,45.94563136010785,37.98773561263728
Evan Carter,Evan Carter (2025),1.4271210707995503,107.27542398827268,11.32453145529645,10.430322076144005,-2.738840836960397,-2.0682383753674847,-2.7213384305593307,Contact,11.32453145529645,52.728958067521546,45.056492433041136,64.80432058779988,53.30648929537157,56.89947743543896
Javier Báez,Javier Báez (2025),1.42648302824193,86.39152316600318,10.562136482308,12.129638212432742,-2.8480260718969213,-2.0033028423673516,-2.7966889193516384,Power,12.129638212432742,44.074403803347046,46.99261868399887,54.111676398940446,55.56713557697548,27.443286525711898
Nolan Schanuel,Nolan Schanuel (2025),1.4171351450767276,108.6323906181347,9.310287191706449,9.9018541718161,-4.216562763077594,-4.2940563390374615,-4.551392794736146,Power,9.9018541718161,66.19220751023548,42.140529694728016,46.29043292649459,43.221473208999896,63.21030480876941
Kody Clemens,Kody Clemens (2025),1.4124094067291182,95.06345515948595,10.691797866289876,10.047683927188602,-3.364482353180228,-2.6332455551238567,-2.965048114862898,Contact,10.691797866289876,48.04199077695,58.45979308545779,55.60865353475783,56.59826184257973,48.01742489168215
Matt McLain,Matt McLain (2025),1.4056873734941302,76.96446873414527,10.933940429169114,10.547163200122666,-3.0339638875904122,-2.1871098267323656,-2.9634198128565323,Contact,10.933940429169114,41.483282122126845,46.137720879862826,61.61704293117747,60.90385748106673,55.03664910334311
Daylen Lile,Daylen Lile (2025),1.3969465452185086,132.49464609512847,10.088104966522138,11.361238120114042,-1.4143441434742274,-0.848966825622369,-1.2595586125479268,Power,11.361238120114042,67.12319396945024,50.727797447701285,52.70801481900328,32.685823780216474,45.88140105419741
Mike Tauchman,Mike Tauchman (2025),1.3804506578270184,115.165963099284,10.26423927904483,10.673072389472257,0.8392962005893675,0.8783460690949035,0.9184747419638813,Power,10.673072389472257,53.14896022589155,48.04700081349044,41.29526510199777,48.49078130363029,58.72594482313824
Ke'Bryan Hayes,Ke'Bryan Hayes (2025),1.3718167980969598,64.87872475695353,10.302941442572552,10.949704873270926,-6.304904745413542,-6.198797770434535,-6.742352169699476,Power,10.949704873270926,55.34838102698024,40.86734782360925,50.8867419873957,80.0,51.03743833443897
Joey Ortiz,Joey Ortiz (2025),1.3616286536253466,66.60611864537773,9.43641984051962,12.282551324231614,-6.719658250103486,-6.663242521980593,-7.234664014075949,Power,12.282551324231614,59.20348611598609,36.40715926377044,58.565094657180495,68.71474030747791,45.43223885983924
Michael Harris II,Michael Harris II (2025),1.3594037210795658,82.851702365906,10.0900937803697,11.90773057102396,-2.0764823823401244,-1.4144554916926284,-1.8613631860351754,Power,11.90773057102396,53.46807508274626,54.57188153833338,57.605711639092654,53.36296945194437,26.090533333632703
Matt Wallner,Matt Wallner (2025),1.354983498737889,114.02534523103958,9.91848787627232,10.108210906665978,-2.33456823001266,-1.8431148495809218,-2.0994818179925105,Power,10.108210906665978,32.761103052353604,63.568298116824174,47.06144318702073,45.70471866632315,52.4562356357245
Chase Meidroth,Chase Meidroth (2025),1.3532577510669788,86.50319468655016,9.255210900091871,9.607778965625746,-7.357234408533888,-7.1274179661890065,-7.854558633072056,Power,9.607778965625746,65.90935441941593,36.90085671241434,49.251136412720776,55.601447425106805,64.03325931332245
Gavin Sheets,Gavin Sheets (2025),1.3466349408104012,110.64586228243093,9.680156318728368,11.40907642651337,-0.4003050887076356,-0.27105740547534946,-0.08041644888045334,Power,11.40907642651337,56.119107415269504,54.85068675079551,43.06730832476084,43.304354957549705,51.04944911604409
Miguel Vargas,Miguel Vargas (2025),1.3430150424946476,100.85992923636093,9.77741818201487,10.43210053223999,-1.7084184570703955,-1.0626974529774749,-1.4573265584281159,Power,10.43210053223999,55.86104029671529,50.41280615713972,52.49939608819541,42.13646693834401,58.90366425675817
Lenyn Sosa,Lenyn Sosa (2025),1.3421614322915458,99.60694748581646,8.832170039608064,12.768560004036612,-0.6916520863235966,-0.49652114193764685,-0.47532677241781374,Power,12.768560004036612,55.669403766733,55.23925948310298,44.76013906189055,44.90150318701525,32.656024567893226
Ozzie Albies,Ozzie Albies (2025),1.3306356540757664,86.88430580194277,12.181882381398122,10.734368423724911,-5.097638997101347,-5.099084294585309,-5.512128048650038,Contact,12.181882381398122,56.299012082680605,41.64080394282966,55.77092727970215,46.452879584264586,46.22791104960814
Joey Bart,Joey Bart (2025),1.3218509390859547,100.60660335849975,9.849923214199102,10.81489004990552,-0.15338079441092384,0.11872452381920776,0.07258579849866144,Power,10.81489004990552,45.803906473178856,47.84862677357681,41.13051697533047,51.81238421174592,61.30462538958309
Daniel Schneemann,Daniel Schneemann (2025),1.321754070804998,78.92617847580267,10.475319808492118,10.483129823039963,-3.1478142081339584,-2.2968562588059838,-3.0183984398994483,Power,10.483129823039963,39.787382076203386,50.55109201209999,53.00906319007697,63.57267869975942,52.856843476239824
Davis Schneider,Davis Schneider (2025),1.3033304965985997,127.05872697840208,10.136311153243314,8.603013628863152,-2.142147839686803,-1.3515619470035045,-1.8793752943889417,Contact,10.136311153243314,41.95354113762187,55.19097057480489,48.65066948377325,47.89557559961072,65.54884492048265
Danny Jansen,Danny Jansen (2025),1.3021022897209091,103.08123936572647,9.653599885063926,10.011222706502938,-0.5987387726454113,-0.3034313336557088,-0.5592484024422558,Power,10.011222706502938,45.126224451789135,48.317883269080944,42.09117297428715,46.1346520008131,62.64287737974361
Cedric Mullins,Cedric Mullins (2025),1.285559192319055,94.13674240960768,10.468605402100732,10.4905636789124,-2.2269718548433675,-1.6019579521506895,-2.0072813562002687,Power,10.4905636789124,46.31115299811321,46.952863921011534,62.47440590831598,42.09560506199172,53.8930457087096
Luis Robert Jr.,Luis Robert Jr. (2025),1.2747873716238205,83.53411999668151,11.132105201843292,11.642781647089926,-3.1910268705120477,-2.4215515378623516,-2.945425438105971,Power,11.642781647089926,41.44849188400941,52.84012001806144,62.5877776789614,57.10543842518175,45.16457077752027
Jurickson Profar,Jurickson Profar (2025),1.2555631133152012,122.22557653155958,9.469743352841629,9.307827255146531,-1.4349591285321508,-0.7704446941212506,-1.3227206245005825,Contact,9.469743352841629,58.76023638938818,50.42876766291479,53.06246869121783,37.30308181989536,65.05999240794685
Heriberto Hernández,Heriberto Hernández (2025),1.251851839365738,117.93053907429874,10.122547152099528,10.481608352066802,-2.384873487986531,-1.90486231038806,-2.0674204244992094,Power,10.481608352066802,44.87860958089392,56.00832444960898,44.38739391127638,52.83702866005706,56.13640823342635
Austin Hays,Austin Hays (2025),1.2405869903411828,104.51996547783054,10.478908830977065,10.602754009736428,-2.3653145784565237,-1.7449279154887787,-2.2437066642036143,Power,10.602754009736428,44.54794112944009,52.627266418720765,59.04209215132069,48.776749996972406,41.61953204430312
Jackson Holliday,Jackson Holliday (2025),1.230759099034192,95.58969877514492,9.836516453351436,11.812939735751705,1.038682611422149,0.923180754448195,1.228779156657348,Power,11.812939735751705,52.3745975824145,47.6170967654381,41.47119174286063,41.11836657372077,54.21735925865378
Jo Adell,Jo Adell (2025),1.224196362781221,112.44059254643317,9.055776761880344,11.83159421701752,-2.040232080188794,-1.4539314779397623,-1.723015046726979,Power,11.83159421701752,46.18477093840491,69.02503232252411,48.8461735400342,23.2083469558344,39.65210817091048
Marcell Ozuna,Marcell Ozuna (2025),1.217890923081362,113.9681445333606,9.24847714631225,8.233625451523464,0.9326063497083631,0.9839120659098068,1.2948172957345483,Contact,9.24847714631225,49.29654631884393,55.10378028576307,37.63885785303833,40.3400350581996,71.7975731394275
Tommy Edman,Tommy Edman (2025),1.19600971354407,80.7094917400987,9.17567774015435,13.676403823746812,-2.265001615884712,-1.4749828521814967,-2.1480261846596984,Power,13.676403823746812,59.56224658797159,46.84619423054656,49.77984712494429,62.9931320432776,45.06701866564112
Kyle Manzardo,Kyle Manzardo (2025),1.1767582578790226,112.65081053203048,9.440516938980432,10.241946802566682,-1.8254434119110277,-1.4855620354097414,-1.499127084544078,Power,10.241946802566682,45.911087449271065,58.55372848794539,45.95448814987844,39.136865411770415,49.59196113645845
Adley Rutschman,Adley Rutschman (2025),1.1638089115843926,91.2201660293606,9.080315903191881,10.335099258909388,-1.1992019790606159,-0.7323330259355587,-1.0488826719762188,Power,10.335099258909388,59.41760306719789,48.042211857498245,43.42606611217216,54.65318084704119,64.91592183608907
Tyler Stephenson,Tyler Stephenson (2025),1.1281607469515589,99.45398981694092,10.827704759374305,10.071546026310338,-0.753085437479784,-0.6231453646161211,-0.5803402333862584,Contact,10.827704759374305,40.61665602920501,57.23230443064767,41.91744792769235,48.92259643918969,55.25023838138672
Kyle Isbel,Kyle Isbel (2025),1.122336172344843,79.20166569806034,9.931482695208963,11.802555343270605,-5.6523917949257765,-5.723763719964715,-6.082374743947584,Power,11.802555343270605,57.24551503353649,39.88564584313994,44.84447029929926,62.32965564862732,49.35403085678151
Christian Walker,Christian Walker (2025),1.1106047412554876,98.91744435595209,9.786991107041805,11.593020442664669,-1.7712893036709132,-1.5590232480485493,-1.6485406907549718,Power,11.593020442664669,41.67292506121106,58.45383301733044,42.713016033478965,47.990006649056646,41.67982992179279
Miguel Andujar,Miguel Andujar (2025),1.1067798385284575,124.62885828351988,8.794946705921715,13.462742017754039,-0.3166552953143672,-0.19219865547576334,-0.15643384402492358,Power,13.462742017754039,65.43622789139236,48.45661942036577,42.65004654375946,40.43993733638938,38.91874078967528
Heliot Ramos,Heliot Ramos (2025),1.0949017223991269,106.41887827038718,9.976487777287222,11.121051236766114,1.1506472474738725,1.0588127073938907,1.4454974381070254,Power,11.121051236766114,52.97080985931504,56.51539289595954,40.6468622563279,31.70607798730301,47.4698636898012
Ramón Urías,Ramón Urías (2025),1.0937731584439947,86.79509479905066,9.499529550788454,11.952160956766406,-2.0795199715557264,-1.5647269889344755,-1.8381245041558794,Power,11.952160956766406,48.357692521925486,48.581246536773016,45.50685873822161,58.354916312569976,45.83846135417835
Gabriel Arias,Gabriel Arias (2025),1.0863526127820544,76.97953615359889,10.35277421738814,12.174724060286989,-2.694796149104418,-1.875513966569026,-2.449035367417087,Power,12.174724060286989,27.308910478005043,52.82963796884584,49.63309157243604,57.8497150582217,32.849730919394155
Bryan Reynolds,Bryan Reynolds (2025),1.0782438394413298,99.2542017197389,9.41317508581802,10.439363496461155,-1.66586819476645,-1.4059418914379707,-1.303919189470429,Power,10.439363496461155,47.594633020029,55.88479597557146,46.138882678442044,40.56370798332102,49.6620054690413
Blaze Alexander,Blaze Alexander (2025),1.0504115878801052,99.29029533222676,10.634997586570389,10.790608315834303,-2.3714907406388375,-1.8935500388558257,-2.0850577439406934,Power,10.790608315834303,39.59938270466239,53.89111941109245,43.13014597872988,54.58319070868195,49.86766346296374
Nick Fortes,Nick Fortes (2025),1.0415364560068512,80.41164724203314,10.395402111754956,12.108060641302028,-3.339138935042775,-3.050244046709088,-3.6839357127522847,Power,12.108060641302028,53.32288230334355,44.26855817370577,48.382833482625486,59.02487791495535,45.66039978053583
Andrés Giménez,Andrés Giménez (2025),1.0353732200587389,70.41048581817422,9.205701371028987,12.111561018528352,-7.0449073515226015,-7.070894134489569,-7.654397349214556,Power,12.111561018528352,52.50497796516086,36.31768695888371,57.5008624760998,64.80142496924937,42.76442632335522
Jesús Sánchez,Jesús Sánchez (2025),1.0334220205263192,93.36182380308922,11.263977049481927,9.843759196243845,-3.127033284876899,-2.452892682789999,-2.7631675004923193,Contact,11.263977049481927,48.58294360891975,55.702878297688926,55.50520293495587,50.85318540310051,48.42798177317241
