target,alpha_grid,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,mae_pct_of_scalar_baseline
war,archived_6_value,C,M4 B2V + age + PA,7,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1618753941234892,1.0623573804952853,1.2625287687900542,1.4993148026576655,1.3550878255352268,1.639425155527573,102.5111160572181
war,archived_6_value,C,M5 constituents + age + PA,24,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1182122694910572,1.0265755544270212,1.214027577133201,1.439787900662793,1.3162920730833019,1.5602140795955324,98.65876178648098
war,archived_6_value,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1759571444465715,1.1116797259652478,1.2445793741812674,1.543809784190281,1.4409652276922897,1.647005240108738,100.0
war,archived_6_value,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2233474512284797,1.1579373895098768,1.28958331965795,1.5792348503990288,1.4803995914900099,1.6744301109355564,104.02993484972711
war,archived_6_value,pooled,M2 constituent stats,22,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1777835759735495,1.116680997452673,1.2426691169002668,1.5285829594412839,1.4358695289449799,1.6211635778270475,100.15531446325262
war,archived_6_value,pooled,M3 scalar + age + PA,3,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.165389107347496,1.0999735926741494,1.231226700780297,1.5172403624383364,1.4194653804869042,1.6181489764286703,99.10132464018925
war,archived_6_value,pooled,M4 B2V + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.186480219550486,1.1232153368527995,1.2506371702326766,1.5317639728320642,1.4363109974948398,1.626756890255924,100.89485192156955
war,archived_6_value,pooled,M5 constituents + age + PA,24,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1520889962080807,1.092196691895231,1.2131286555527598,1.4943947521460084,1.4038987937143574,1.5874057012286038,97.9703215928227
war_rate,wide_logspace_-3_4_50,A,M0 scalar baseline,1,0.001,351,False,2021->2022,2022->2023,350,1.5796937540480682,1.4502915557878282,1.7077020978522712,1.9908688851475085,1.8368456146596899,2.1430904536595246,100.0
war_rate,wide_logspace_-3_4_50,A,M1 B2V 5 tools,5,0.001,351,False,2021->2022,2022->2023,350,1.5405363515992512,1.4195524356234481,1.6593638153601638,1.9293991326209115,1.7861461439187256,2.0700022752426377,97.52120293262705
