target,window,touches_2020,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M6 Marcel (no fit),1,,,,,,358,20.020846075856454,18.35260955807912,21.88817940417214,26.090445567853948,23.858225959880915,28.44205243013716
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M6c Marcel calibrated,1,0.001,707.0,False,2021->2022; 2022->2023,2023->2024,358,19.342437269823037,17.71116107478559,21.070745329830466,25.331304342832937,23.19069880158868,27.58119863053327
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M7 Marcel + B2V,6,100.0,707.0,False,2021->2022; 2022->2023,2023->2024,358,18.773752899986288,17.193325290812737,20.513567245378404,24.519724112446717,22.426293697444052,26.587532910880853
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M0 scalar baseline,1,0.001,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,19.25390337222571,17.67487672540389,21.004182434511083,24.945620806670373,22.741429641429495,27.36084772521478
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M1 B2V 5 tools,5,0.001,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,18.075636816657244,16.513434273429016,19.761844369963015,23.7489972204068,21.625175217940278,25.9412772266772
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M2 constituent stats,22,100.0,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,17.74019214520273,16.229311900200347,19.29130594003675,23.088073223396396,21.121734407035678,25.04816524604009
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M3 scalar + age + PA,3,51.794746792312125,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,19.218067076106465,17.693057726395658,21.000132288049343,24.735782931545838,22.647365127970644,26.933726204097514
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M4 B2V + age + PA,7,37.27593720314938,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,18.100984538576558,16.58992883358452,19.696271586846276,23.634746292129346,21.556862518060726,25.761014564401943
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M5 constituents + age + PA,24,138.9495494373136,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,17.849755789680867,16.420953912150328,19.341997535532744,23.054500939481894,21.13874219014454,25.03831584515972
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M6 Marcel (no fit),1,,,,,,362,19.4742744499723,17.915705024054304,21.205895990803732,25.289038967735436,23.25690473551722,27.463018605891403
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M6c Marcel calibrated,1,0.001,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,18.9614429851219,17.43433017434392,20.648919234892947,24.405322855494642,22.452910444654957,26.47629663166769
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M7 Marcel + B2V,6,37.27593720314938,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,18.126030958037887,16.60470685295219,19.80116257623922,23.626437318707982,21.629959017425158,25.748567178606052
wrc_plus,2021-2025 (2020 excluded),False,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1073,19.689381988242108,18.673989517918365,20.657837090569178,25.463226970528673,24.161606409904774,26.72022117790132
wrc_plus,2021-2025 (2020 excluded),False,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1073,18.533307908286325,17.56402152963361,19.469698883732974,23.934289977610355,22.70472830257751,25.101607706331045
wrc_plus,2021-2025 (2020 excluded),False,pooled,M2 constituent stats,22,,,,re-fitted per fold,all rolling-origin test seasons,1073,18.34131759532986,17.3993619521214,19.271986705462865,23.595362308909877,22.409263243720627,24.74149213523629
wrc_plus,2021-2025 (2020 excluded),False,pooled,M3 scalar + age + PA,3,,,,re-fitted per fold,all rolling-origin test seasons,1073,19.48329098167888,18.46916086035199,20.4801570228294,25.044725704938198,23.73761824686348,26.272025234159788
wrc_plus,2021-2025 (2020 excluded),False,pooled,M4 B2V + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1073,18.409491933974742,17.453955959509514,19.331164345241618,23.76670843632872,22.528849883430716,24.91911464140593
wrc_plus,2021-2025 (2020 excluded),False,pooled,M5 constituents + age + PA,24,,,,re-fitted per fold,all rolling-origin test seasons,1073,18.22809750038455,17.28910472129703,19.149324430489674,23.463199289140462,22.28814064091102,24.591470204367113
wrc_plus,2021-2025 (2020 excluded),False,pooled,M6 Marcel (no fit),1,,,,re-fitted per fold,all rolling-origin test seasons,1073,19.67833786570696,18.684163580665928,20.70933822094397,25.4380053368406,24.188302418144538,26.731017724591624
wrc_plus,2021-2025 (2020 excluded),False,pooled,M6c Marcel calibrated,1,,,,re-fitted per fold,all rolling-origin test seasons,1073,19.040605908977668,18.082353554166808,19.987611360079665,24.554039031648706,23.332944494299518,25.751434129401225
wrc_plus,2021-2025 (2020 excluded),False,pooled,M7 Marcel + B2V,6,,,,re-fitted per fold,all rolling-origin test seasons,1073,18.502155663931386,17.580122323982827,19.4420507753478,23.877636332113433,22.6624332497689,25.04268055087222
war,2021-2025 (2020 excluded),False,2022->23,M0 scalar baseline,1,0.001,354.0,False,2021->2022,2022->2023,353,1.1750865652681326,1.076267156625101,1.2713451026080893,1.5026000059165587,1.3708440414416805,1.6386884401479966
