target,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
war_rate,B,M1 JointVAE 5 tools,5,37.27593720314938,701,False,2021->2022; 2022->2023,2023->2024,355,1.6098367863534244,1.477429584185609,1.7512766190549363,2.0860258106336724,1.9179309167212357,2.250695297488078
war_rate,B,M1 JointVAE 5 tools + age + PA,7,13.89495494373136,701,False,2021->2022; 2022->2023,2023->2024,355,1.617348617542069,1.4838724770545202,1.7545952215069025,2.095695124191301,1.9283239304474884,2.2600445144096035
war_rate,B,M1 PCA 5 tools,5,26.82695795279722,701,False,2021->2022; 2022->2023,2023->2024,355,1.6027885711035421,1.4758893306485605,1.736250766076931,2.063946253841062,1.903470069885328,2.224962451441792
war_rate,B,M1 PCA 5 tools + age + PA,7,13.89495494373136,701,False,2021->2022; 2022->2023,2023->2024,355,1.627490244376498,1.4979376168947978,1.760840871398042,2.087490441679518,1.926987326344683,2.2515225275806445
war_rate,B,M1 ZScore 5 tools,5,13.89495494373136,701,False,2021->2022; 2022->2023,2023->2024,355,1.6066541920553836,1.4800900505234167,1.7395336045237773,2.0659989025390915,1.9067137587098897,2.2262093473468427
war_rate,B,M1 ZScore 5 tools + age + PA,7,10.0,701,False,2021->2022; 2022->2023,2023->2024,355,1.6303244584495207,1.5013014651297196,1.763562486595512,2.089599695255784,1.930394526161488,2.2547250453163095
war_rate,C,M0 scalar baseline,1,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5924928922408956,1.4604765858521007,1.7310854920295826,2.059439364755952,1.8851634422230859,2.238968097772024
war_rate,C,M1 JointVAE 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5668563877943673,1.4373567512935095,1.7040475019050527,2.0255499654807134,1.8544628487603068,2.2047319280400948
war_rate,C,M1 JointVAE 5 tools + age + PA,7,13.89495494373136,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5456060657278532,1.4212825034697492,1.6820915711893505,1.9985611136789527,1.8291912638622247,2.17027396055934
war_rate,C,M1 PCA 5 tools,5,37.27593720314938,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5564081620194192,1.4255214690959166,1.6922648303286298,2.013269823907924,1.845885260464552,2.187545299259435
war_rate,C,M1 PCA 5 tools + age + PA,7,7.196856730011514,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5503687558406916,1.4227160543753175,1.6847517409045665,1.998332840958371,1.8312201839177278,2.1644863875559524
war_rate,C,M1 ZScore 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5579558369554412,1.4267446622458446,1.6948280340082413,2.014247935980541,1.845286720745002,2.1890209801552816
war_rate,C,M1 ZScore 5 tools + age + PA,7,5.179474679231207,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5527115924150974,1.4261292158725936,1.6865591122173205,1.9987830389943235,1.831878614523017,2.16383937912767
war_rate,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.6142138363377725,1.5348441515788838,1.695536895386479,2.071807389711895,1.9712083367124245,2.1716204213316095
war_rate,pooled,M1 JointVAE 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.5704262760812047,1.497963183505017,1.6537673722737114,2.013959719238817,1.917917155153387,2.1133875906625166
war_rate,pooled,M1 JointVAE 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.5360188538350061,1.4588034428248846,1.6172095195987566,1.9872512932612503,1.8923705897711065,2.0889018119263523
war_rate,pooled,M1 PCA 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.5669405075695688,1.4949539690958518,1.6464445083854973,2.0035773165389603,1.91040701273737,2.1001240846640976
war_rate,pooled,M1 PCA 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.545484392745745,1.4695579710288547,1.623359531443822,1.984289308133581,1.8905208144564116,2.0811715036216025
war_rate,pooled,M1 ZScore 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.568483679086968,1.4963387194552462,1.648690789255892,2.004379927566578,1.9112752615167934,2.1012028979182236
war_rate,pooled,M1 ZScore 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.547498744983636,1.4713834904533623,1.6253687672567343,1.9852405201848629,1.891165583490094,2.082012082901749
